Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	mutation	alpha library plate	alpha library row	alpha library column	notes	
[DPI-1]	1	11	YOR044W	IRC23	-	Protein of unknown function; green fluorescent protein (GFP)-fusion localizes to the ER; null mutant displays increased levels of spontaneous Rad52p foci; IRC23 has a paralog, BSC2, that arose from the whole genome duplication	biological_process	molecular_function	endomembrane system, endoplasmic reticulum, cytoplasm	irc23 null	2	F	3	
[DPI-1]	1	12	YOL006C	TOP1	DNA topoisomerase 1|MAK17|MAK1	Topoisomerase I; nuclear enzyme that relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone; relaxes both positively and negatively supercoiled DNA; functions in replication, transcription, and recombination; role in processing ribonucleoside monophosphates in genomic DNA into irreversible single-strand breaks; enzymatic activity and interaction with Nsr1p are negatively regulated by polyphosphorylation	mitotic cell cycle, organelle fission, chromatin organization, DNA replication, chromosome segregation, DNA recombination, regulation of DNA metabolic process, transcription from RNA polymerase II promoter, DNA-templated transcription, elongation	isomerase activity	nucleus, chromosome, nucleolus	top1 null	2	G	18	
[DPI-1]	2	1	YOL015W	IRC10	-	Protein of unknown function; subunit of the leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms a ring-like structure at the leading edge of the prospore membrane during meiosis II; null mutant displays increased levels of spontaneous Rad52p foci	biological_process	molecular_function	membrane	irc10 null	2	I	8	
[DPI-1]	2	2	YOR295W	UAF30	-	Subunit of UAF (upstream activation factor) complex; UAF is an RNA polymerase I specific transcription stimulatory factor composed of Uaf30p, Rrn5p, Rrn9p, Rrn10p, histones H3 and H4; targeting factor for the UAF that facilitates activation of many rDNA genes; deletion decreases cellular growth rate; UAF30 has a paralog, TRI1, that arose from the whole genome duplication	transcription from RNA polymerase I promoter, chromatin organization	nucleic acid binding transcription factor activity, DNA binding	nucleus, nucleolus	uaf30 null	2	L	23	
[DPI-1]	2	3	YDR363W	ESC2	-	Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member	peptidyl-amino acid modification, mitotic cell cycle, DNA repair, organelle fission, chromatin organization, cellular response to DNA damage stimulus, chromosome segregation, regulation of protein modification process, protein modification by small protein conjugation or removal, DNA recombination, regulation of cell cycle	molecular_function	nucleus	esc2 null	3	E	4	
[DPI-1]	2	4	YDR364C	CDC40	SLU4|SLT15|PRP17	Pre-mRNA splicing factor; important for catalytic step II of pre-mRNA splicing and plays a role in cell cycle progression, particularly at the G1/S phase transition; required for DNA synthesis during mitosis and meiosis; has WD repeats; thermosensitivity of the cdc40 null mutant is functionally complemented by a chimeric construct containing the N-terminal 156 amino acids of yeast Cdc40p fused to the C-terminal two thirds (297 amino acids) of human CDC40	RNA splicing, mRNA processing	other	nucleus	cdc40 null	3	E	6	
[DPI-1]	2	5	YDR369C	XRS2	-	Protein required for DNA repair; component of the Mre11 complex, which is involved in double strand breaks, meiotic recombination, telomere maintenance, and checkpoint signaling	meiotic cell cycle, DNA repair, telomere organization, organelle fission, sporulation, cellular response to DNA damage stimulus, DNA recombination	protein binding, bridging, DNA binding	nucleus	xrs2 null	3	E	10	
[DPI-1]	2	6	YDR378C	LSM6	U4/U6-U5 snRNP complex subunit LSM6	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA	RNA splicing, rRNA processing, ribosomal small subunit biogenesis, mRNA processing	RNA binding	nucleus, nucleolus, cytoplasm	lsm6 null	3	E	20	
[DPI-1]	2	7	YDR388W	RVS167	amphiphysin	Calmodulin-binding actin-associated protein; roles in endocytic membrane tabulation and constriction, and exocytosis; N-BAR domain protein that interacts with Rvs161p to regulate actin cytoskeleton, endocytosis, and viability following starvation or osmotic stress; recruited to bud tips by Gyl1p and Gyp5p during polarized growth; homolog of mammalian amphiphysin	endocytosis	cytoskeletal protein binding, lipid binding	cell cortex, site of polarized growth, cytoskeleton, cytoplasm	rvs167 null	3	G	14	
[DPI-1]	2	8	YDR076W	RAD55	putative DNA-dependent ATPase RAD55	Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p	meiotic cell cycle, DNA repair, organelle fission, DNA recombination, cellular response to DNA damage stimulus	ATPase activity, hydrolase activity	nucleus	rad55 null	3	J	5	
[DPI-1]	2	9	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-1]	2	10	YDR078C	SHU2	-	Component of Shu complex (aka PCSS complex); Shu complex also includes Psy3, Csm2, Shu1, and promotes error-free DNA repair, Shu complex mediates inhibition of Srs2p function; promotes formation of Rad51p filaments; important for both mitotic and meiotic homologous recombination, and contains a conserved SWIM domain that is necessary for both	DNA repair, DNA recombination, cellular response to DNA damage stimulus	molecular_function	chromosome	shu2 null	3	J	7	
[DPI-1]	2	11	YEL001C	IRC22	-	Protein of unknown function; green fluorescent protein (GFP)-fusion localizes to the ER; YEL001C is non-essential; null mutant displays increased levels of spontaneous Rad52p foci	biological_process	molecular_function	endomembrane system, endoplasmic reticulum, cytoplasm	irc22 null	3	M	10	
[DPI-1]	2	12	YDR110W	FOB1	replication fork barrier binding protein FOB1|HRM1	Nucleolar protein that binds the rDNA replication fork barrier site; required for replication fork blocking, recombinational hotspot activity, condensin recruitment to replication fork barrier (RFB), and rDNA repeat segregation; related to retroviral integrases	chromatin organization, DNA replication, chromosome segregation, DNA recombination, regulation of DNA metabolic process, nucleus organization	DNA binding	nucleus, chromosome, nucleolus	fob1 null	3	N	7	
[DPI-1]	3	1	YDR112W	IRC2	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ALT2/YDR111C; null mutant displays increased levels of spontaneous Rad52p foci	biological_process	molecular_function	cellular_component	irc2 null	3	N	11	
[DPI-1]	3	2	YCL008C	STP22	ubiquitin-binding ESCRT-I subunit protein STP22|AGS1|VPL15|VPS23	Component of the ESCRT-I complex; ESCRT-I is involved in ubiquitin-dependent sorting of proteins into the endosome; prevents polyubiquitination of the arrestin-related protein Rim8p, thereby directing its monoubiquitination by Rsp5p; homologous to the mouse and human Tsg101 tumor susceptibility gene; mutants exhibit a Class E Vps phenotype;	protein targeting, ion transport, proteolysis involved in cellular protein catabolic process, nucleobase-containing compound transport, regulation of protein modification process, protein modification by small protein conjugation or removal, endosomal transport	ubiquitin-like protein binding	cytoplasmic vesicle, endomembrane system, membrane, cytoplasm, plasma membrane	stp22 null	4	C	16	
[DPI-1]	3	3	YHR081W	LRP1	RRP47|YC1D	Nuclear exosome-associated nucleic acid binding protein; involved in RNA processing, surveillance, degradation, tethering, and export; forms a stable heterodimer with Rrp6p and regulates its exonucleolytic activity; rapidly degraded by the proteasome in the absence of Rrp6p; homolog of mammalian nuclear matrix protein C1D involved in regulation of DNA repair and recombination	RNA catabolic process, snoRNA processing, rRNA processing	RNA binding, DNA binding, enzyme regulator activity	nucleus	lrp1 null	4	F	23	
[DPI-1]	3	4	YCL061C	MRC1	chromatin-modulating protein MRC1|YCL060C	S-phase checkpoint protein required for DNA replication; couples DNA helicase and polymerase; interacts with and stabilizes Pol2p at stalled replication forks during stress, where it forms a pausing complex with Tof1p and is phosphorylated by Mec1p; defines a novel S-phase checkpoint with Hog1p that coordinates DNA replication and transcription upon osmostress; protects uncapped telomeres; Dia2p-dependent degradation mediates checkpoint recovery; mammalian claspin homolog	mitotic cell cycle, DNA repair, telomere organization, organelle fission, chromatin organization, DNA replication, cellular response to DNA damage stimulus, chromosome segregation, regulation of DNA metabolic process, regulation of cell cycle	molecular_function	nucleus, chromosome	mrc1 null	4	I	8	
[DPI-1]	3	5	YKL048C	ELM1	serine/threonine protein kinase ELM1|LDB9	Serine/threonine protein kinase; regulates the orientation checkpoint, the morphogenesis checkpoint and the metabolic switch from fermentative to oxidative metabolism by phosphorylating the activation loop of Kin4p, Hsl1p and Snf4p respectively; cooperates with Hsl7p in recruiting Hsl1p to the septin ring, a prerequisite for subsequent recruitment, phosphorylation, and degradation of Swe1p; forms part of the bud neck ring; regulates cytokinesis	mitotic cell cycle, response to chemical, cytoskeleton organization, carbohydrate metabolic process, cell budding, cell morphogenesis, protein phosphorylation, cytokinesis, organelle assembly, protein complex biogenesis, regulation of protein modification process, pseudohyphal growth	kinase activity, transferase activity	cell cortex, cytoskeleton, cellular bud, site of polarized growth, cytoplasm	elm1 null	4	M	5	
[DPI-1]	3	6	YJL142C	IRC9	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene YJL141C; null mutant displays increased levels of spontaneous Rad52p foci	DNA recombination	molecular_function	membrane	irc9 null	5	C	17	
[DPI-1]	3	7	YKL113C	RAD27	multifunctional nuclease RAD27|FEN1|RTH1|ERC11	5' to 3' exonuclease, 5' flap endonuclease; required for Okazaki fragment processing and maturation, for long-patch base-excision repair and large loop repair (LLR), ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia	DNA repair, DNA replication, cellular response to DNA damage stimulus, RNA catabolic process, DNA recombination	hydrolase activity, nuclease activity	nucleus, mitochondrion, cytoplasm	rad27 null	5	F	8	
[DPI-1]	3	8	YKL113C	RAD27	multifunctional nuclease RAD27|FEN1|RTH1|ERC11	5' to 3' exonuclease, 5' flap endonuclease; required for Okazaki fragment processing and maturation, for long-patch base-excision repair and large loop repair (LLR), ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia	DNA repair, DNA replication, cellular response to DNA damage stimulus, RNA catabolic process, DNA recombination	hydrolase activity, nuclease activity	nucleus, mitochondrion, cytoplasm	rad27 null	5	F	8	
[DPI-1]	3	9	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-1]	3	10	YOR235W	IRC13	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant displays increased levels of spontaneous Rad52 foci	biological_process	molecular_function	cellular_component	irc13 null	5	G	10	
[DPI-1]	3	11	YLR417W	VPS36	ESCRT-II subunit protein VPS36|VPL11|VAC3|GRD12	Component of the ESCRT-II complex; contains the GLUE (GRAM Like Ubiquitin binding in EAP45) domain which is involved in interactions with ESCRT-I and ubiquitin-dependent sorting of proteins into the endosome; plays a role in the formation of mutant huntingtin (Htt) aggregates in yeast	response to chemical, protein targeting, ion transport, proteolysis involved in cellular protein catabolic process, nucleobase-containing compound transport, transcription from RNA polymerase II promoter	ubiquitin-like protein binding	cytoplasmic vesicle, endomembrane system, membrane, cytoplasm	vps36 null	5	K	7	
[DPI-1]	3	12	YOR156C	NFI1	SUMO ligase NFI1|SIZ2	SUMO E3 ligase; catalyzes sumoylation of Yku70p/80p and Sir4p promoting telomere anchoring to the nuclear envelope and regulating telomerase activity; DNA-bound form catalyzes a DNA-damaged triggered sumoylation wave resulting in multisite modification of several DNA repair proteins, enhancing interactions between these proteins and accelerating repair; sumoylates Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; role in telomere length maintenance	peptidyl-amino acid modification, chromosome segregation, protein modification by small protein conjugation or removal	transferase activity, DNA binding	nucleus, chromosome, cytoplasm	nfi1 null	5	N	11	
[DPI-1]	4	1	YPL084W	BRO1	NPI3|ASI6|VPS31|LPF2	Cytoplasmic class E vacuolar protein sorting (VPS) factor; coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to endosomes	response to chemical, protein targeting, ion transport, vesicle organization, proteolysis involved in cellular protein catabolic process, nucleobase-containing compound transport, endosomal transport, protein modification by small protein conjugation or removal	enzyme regulator activity	cytoplasmic vesicle, endomembrane system, cytoplasm	bro1 null	6	E	18	
[DPI-1]	4	2	YPL040C	ISM1	isoleucine--tRNA ligase ISM1	Mitochondrial isoleucyl-tRNA synthetase; null mutant is deficient in respiratory growth; human homolog IARS2 implicated in mitochondrial diseases, can partially complement yeast null mutant	mitochondrial translation, tRNA aminoacylation for protein translation, mitochondrion organization, cellular amino acid metabolic process	ligase activity	mitochondrion, cytoplasm	ism1 null	6	K	20	Note: YPL040C and YPL024W have traded 	
[DPI-1]	4	3	YPL024W	RMI1	NCE4	Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex; stimulates superhelical relaxing, DNA catenation/decatenation and ssDNA binding activities of Top3p; involved in response to DNA damage; functions in S phase-mediated cohesion establishment via a pathway involving the Ctf18-RFC complex and Mrc1p; stimulates Top3p DNA catenation/decatenation activity; null mutants display increased rates of recombination and delayed S phase	mitotic cell cycle, organelle fission, cellular response to DNA damage stimulus, chromosome segregation	DNA binding, enzyme regulator activity	nucleus, chromosome, cytoplasm	rmi1 null	6	M	20	places with each other on the TOP1 plate	
[DPI-1]	4	4	YDR540C	IRC4	-	Protein of unknown function; null mutant displays increased levels of spontaneous Rad52p foci; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus	DNA recombination	molecular_function	nucleus, cytoplasm	irc4 null	6	O	21	
[DPI-1]	4	5	YFR043C	IRC6	-	Clathrin coat accessory factor; involved in clathrin-mediated vesicle trafficking; may function to link the AP-1 clathrin adaptor complex with the Rab GTPase Ypt31p; has structural similarity to G-proteins; mouse homolog Aagab (p34) functionally complements irc6 null mutation; null mutant displays increased levels of spontaneous Rad52p foci	other	protein binding, bridging	cellular_component	irc6 null	7	D	6	
[DPI-1]	4	6	YBL088C	TEL1	DNA-binding protein kinase TEL1	Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene	DNA repair, telomere organization, protein phosphorylation, chromatin organization, cellular response to DNA damage stimulus, histone modification	kinase activity, transferase activity, DNA binding	nucleus, mitochondrion, cytoplasm	tel1 null	7	F	9	
[DPI-1]	4	7	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1	Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases	transcription from RNA polymerase I promoter, peptidyl-amino acid modification, protein phosphorylation, transcription from RNA polymerase III promoter, cellular response to DNA damage stimulus	enzyme regulator activity	nucleus, nucleolus	ckb null	7	H	19	
[DPI-1]	4	8	YKL213C	DOA1	ZZZ4|UFD3	WD repeat protein required for ubiquitin-mediated protein degradation; ubiquitin binding cofactor that complexes with Cdc48p; required for ribophagy; controls cellular ubiquitin concentration; promotes efficient NHEJ in postdiauxic/stationary phase; facilitates N-terminus-dependent proteolysis of centromeric histone H3 (Cse4p) for faithful chromosome segregation; protein increases in abundance and relocalizes from nucleus to nuclear periphery upon DNA replication stress	DNA repair, cellular response to DNA damage stimulus, proteolysis involved in cellular protein catabolic process	ubiquitin-like protein binding	nucleus, cytoplasm	doa1 null	7	K	6	
[DPI-1]	4	9	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-1]	4	10	YGL058W	RAD6	E2 ubiquitin-conjugating protein RAD6|PSO8|UBC2	Ubiquitin-conjugating enzyme (E2); involved in postreplication repair as a heterodimer with Rad18p, regulation of K63 polyubiquitination in response to oxidative stress, DSBR and checkpoint control as a heterodimer with Bre1p, ubiquitin-mediated N-end rule protein degradation as a heterodimer with Ubr1p, ERAD with Ubr1p in the absence of canonical ER membrane ligases, and Rpn4p turnover as part of proteasome homeostasis, in complex with Ubr2p and Mub1p	mitotic cell cycle, meiotic cell cycle, response to chemical, organelle fission, chromatin organization, regulation of transport, proteolysis involved in cellular protein catabolic process, DNA-templated transcription, termination, DNA recombination, transcription from RNA polymerase II promoter, DNA repair, telomere organization, cellular response to DNA damage stimulus, histone modification, protein modification by small protein conjugation or removal, regulation of cell cycle	hydrolase activity, transferase activity, DNA binding, ATPase activity	nucleus, chromosome, cytoplasm	rad6 null	7	L	23	
[DPI-1]	4	11	YDR332W	IRC3	double-stranded DNA-dependent ATPase	Double-stranded DNA-dependent helicase of the DExH/D-box family; required for maintenance of the mitochondrial (mt) genome; null mutant accumulates double-stranded breaks in mt DNA; localizes to the mt matrix	mitochondrion organization	ATPase activity, hydrolase activity	mitochondrion, cytoplasm	irc3 null	7	O	7	
[DPI-1]	4	12	YNL250W	RAD50	MRX complex DNA-binding subunit	Subunit of MRX complex with Mre11p and Xrs2p; complex is involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining; forms nuclear foci upon DNA replication stress	meiotic cell cycle, DNA repair, telomere organization, organelle fission, cellular response to DNA damage stimulus, DNA recombination, regulation of DNA metabolic process	kinase activity, transferase activity, hydrolase activity, DNA binding, ATPase activity	nucleus, mitochondrion, cytoplasm	rad50 null	8	C	23	
[DPI-1]	5	1	YML095C	RAD10	-	Single-stranded DNA endonuclease (with Rad1p); cleaves single-stranded DNA during nucleotide excision repair and double-strand break repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); homolog of human ERCC1 protein	meiotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, DNA recombination	hydrolase activity, DNA binding, nuclease activity	nucleus	rad10 null	8	G	11	
[DPI-1]	5	2	YML097C	VPS9	guanine nucleotide exchange factor VPS9|VPT9|VPL31	Guanine nucleotide exchange factor (GEF) and ubiquitin receptor; involved in vesicle-mediated vacuolar transport, including Golgi-endosome trafficking and sorting through the multivesicular body (MVB); stimulates the intrinsic guanine nucleotide exchange activity of Rab family members (Vps21p/Ypt52p/Ypt53p); partially redundant with GEF MUK1; required for localization of the CORVET complex to endosomes; similar to mammalian ras inhibitors; contains a Ub-interacting CUE domain	vacuole organization, protein targeting, Golgi vesicle transport, endosomal transport, organelle inheritance	guanyl-nucleotide exchange factor activity, ubiquitin-like protein binding	cytoplasm	vps9 null	8	G	15	
[DPI-1]	5	3	YIR036C	IRC24	sepiapterin reductase family protein IRC24	Putative benzil reductase;(GFP)-fusion protein localizes to the cytoplasm and is induced by the DNA-damaging agent MMS; sequence similarity with short-chain dehydrogenase/reductases; null mutant has increased spontaneous Rad52p foci	biological_process	oxidoreductase activity	membrane, cytoplasm	irc24 null	8	H	17	
[DPI-1]	5	4	YER095W	RAD51	recombinase RAD51|MUT5	Strand exchange protein; forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; homolog of Dmc1p and bacterial RecA protein	meiotic cell cycle, telomere organization, organelle fission, DNA recombination	hydrolase activity, DNA binding, ATPase activity	nucleus, chromosome	rad51 null	8	K	6	
[DPI-1]	5	5	YMR073C	IRC21	-	Protein of unknown function; may be involved in resistance to carboplatin and cisplatin; null mutant displays increase in spontaneous Rad52p foci; contains a lipid-binding domain and binds cardiolipin in a large-scale study	response to chemical	molecular_function	cytoplasm	irc21 null	8	N	11	
[DPI-1]	5	6	YJL051W	IRC8	-	Bud tip localized protein of unknown function; mRNA is targeted to the bud by a She2p dependent transport system; mRNA is cell cycle regulated via Fkh2p, peaking in G2/M phase; null mutant displays increased levels of spontaneous Rad52p foc	DNA recombination	molecular_function	cellular bud, membrane, vacuole, cytoplasm	irc8 null	9	D	15	
[DPI-1]	5	7	YJL047C	RTT101	cullin RTT101|CULC|CUL8	Cullin subunit of a Roc1p-dependent E3 ubiquitin ligase complex; role in anaphase progression; required for recovery after DSB repair; implicated in Mms22-dependent DNA repair; involved with Mms1p in nonfunctional rRNA decay; modified by the ubiquitin-like protein, Rub1p	mitotic cell cycle, organelle fission, DNA replication, regulation of organelle organization, proteolysis involved in cellular protein catabolic process, transposition, RNA catabolic process, regulation of cell cycle	transferase activity	nucleus, cytoplasm	rtt101 null	9	D	21	
[DPI-1]	5	8	YPR038W	IRC16	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene YPR037C; null mutant displays increased levels of spontaneous Rad52p foci	DNA recombination	molecular_function	membrane	irc16 null	9	F	2	
[DPI-1]	5	9	YOR202W	HIS3-BLANK	-	-	-	-	-	WT	-	-	-	
[DPI-1]	5	10	YJL037W	IRC18	OSW6	Protein involved in outer spore wall assembly; possible role in assembly of the dityrosine layer; similar to adjacent ORF, LOH1; irc18 loh1 double mutant exhibits reduced dityrosine fluorescence relative to single mutants; SWAT-GFP fusion protein localizes to the ER and vacuole, while mCherry fusion localizes to the vacuole; expression induced in respiratory-deficient cells and carbon-limited chemostat culture; null mutant displays increased levels of spontaneous Rad52p foci	meiotic cell cycle, sporulation, cell wall organization or biogenesis	molecular_function	vacuole, cytoplasm	irc18 null	9	F	9	
[DPI-1]	5	11	YLR447C	VMA6	H(+)-transporting V0 sector ATPase subunit d	Subunit d of the V0 integral membrane domain of V-ATPase; part of the electrogenic proton pump found in the endomembrane system; required for V1 domain assembly on the vacuolar membrane; the V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase) has five subunits	cellular ion homeostasis	ATPase activity, hydrolase activity, transmembrane transporter activity	membrane, vacuole, cytoplasm	vma6 null	9	G	6	
[DPI-1]	5	12	YMR060C	SAM37	SAM complex subunit SAM37|TOM37|PET3027|MAS37	Component of the Sorting and Assembly Machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; contributes to SAM complex stability	protein targeting, mitochondrion organization, transmembrane transport, ion transport, protein complex biogenesis, lipid transport	molecular_function	mitochondrion, membrane, mitochondrial envelope, cytoplasm	sam37 null	9	I	10	
[DPI-1]	6	1	YPR070W	MED1	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	transcription from RNA polymerase II promoter	molecular_function	nucleus	med1 null	9	J	4	
[DPI-1]	6	2	YDR004W	RAD57	putative DNA-dependent ATPase RAD57	Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad55p	meiotic cell cycle, DNA repair, telomere organization, organelle fission, cellular response to DNA damage stimulus, DNA recombination	hydrolase activity, ATPase activity	nucleus	rad57 null	10	B	8	
[DPI-1]	6	3	YBR035C	PDX3	pyridoxamine-phosphate oxidase PDX3	Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism	cofactor metabolic process	ion binding, oxidoreductase activity	mitochondrial envelope, mitochondrion, cytoplasm	pdx3 null	10	E	5	
