heterozygous essentials b isolates			release 1										
Synced to SGD on Sat Jul  8 00:51:41 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	record no.	strain	rg notes	db notes	
401	A	12	YAR007C	RFA1	replication factor A subunit protein RFA1|RPA70|RPA1|FUN3|BUF2	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia	meiotic cell cycle, DNA repair, telomere organization, organelle fission, DNA replication, cellular response to DNA damage stimulus, protein modification by small protein conjugation or removal, DNA recombination	RNA binding, DNA binding, mRNA binding	nucleus, chromosome, cytoplasm	20409	chr1_1	-	-	
401	B	1	YAR008W	SEN34	tRNA splicing endonuclease subunit SEN34|FUN4	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	RNA splicing, tRNA processing	hydrolase activity, nuclease activity	nucleus, mitochondrion, membrane, mitochondrial envelope, cytoplasm	20410	chr1_1	-	-	
401	B	2	YAR019C	CDC15	serine/threonine protein kinase CDC15|LYT1	Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress	mitotic cell cycle, meiotic cell cycle, protein phosphorylation, organelle fission, cytoskeleton organization, regulation of organelle organization, cytokinesis, regulation of cell cycle	kinase activity, transferase activity	cytoskeleton, microtubule organizing center, cellular bud, site of polarized growth, cytoplasm	20416	chr1_1	-	-	
401	B	3	YLL003W	SFI1	-	Centrin (Cdc31p)-binding protein required for SPB duplication; localizes to the half-bridge of the spindle pole body (SPB); required for progression through G(2)-M transition; phosphorylated by Cdc28p-Clb2p and by Cdc5p; dephosphorylated by Cdc14p; has similarity to Xenopus laevis XCAP-C	mitotic cell cycle, cytoskeleton organization, organelle assembly	molecular_function	cytoskeleton, microtubule organizing center, cytoplasm	21491	chr12_1	-	-	
401	B	4	YLL004W	ORC3	origin recognition complex subunit 3	Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing	chromatin organization, DNA replication	chromatin binding, DNA binding	nucleus, chromosome	21492	chr12_1	-	-	
401	B	5	YLL008W	DRS1	putative ATP-dependent RNA helicase	Nucleolar DEAD-box protein required for ribosome assembly and function; including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles	rRNA processing, organelle assembly, ribosomal large subunit biogenesis, ribosome assembly	hydrolase activity, ATPase activity, helicase activity	nucleus, nucleolus	21496	chr12_1	-	-	
401	B	6	YLL011W	SOF1	rRNA-processing protein SOF1	Protein required for biogenesis of 40S (small) ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p; essential gene	rRNA processing, ribosomal small subunit biogenesis	RNA binding, mRNA binding	nucleus, nucleolus	21499	chr12_1	-	-	
401	B	7	YLL018C	DPS1	aspartate--tRNA ligase DPS1|AspRS	Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation; shares five highly conserved amino acids with human that when mutated cause leukoencephalopathy characterized by hypomyelination with brain stem and spinal cord involvement and leg spasticity (HBSL)	tRNA aminoacylation for protein translation, cellular amino acid metabolic process	RNA binding, ligase activity	nucleus, cytoplasm	21506	chr12_1	-	-	
401	B	8	YLL031C	GPI13	mannose-ethanolamine phosphotransferase GPI13|MPC1	ER membrane localized phosphoryltransferase; adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein	lipid metabolic process, protein lipidation	transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	21519	chr12_1	-	-	
401	B	9	YLL034C	RIX7	putative AAA family ATPase RIX7	Putative ATPase of the AAA family; required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions	ribosomal subunit export from nucleus, ribosomal large subunit biogenesis, nuclear transport	ATPase activity, hydrolase activity	nucleus, nucleolus	21522	chr12_1	-	-	
401	B	10	YLL035W	GRC3	polynucleotide 5'-hydroxyl-kinase	Polynucleotide kinase present on rDNA; required for efficient transcription termination by RNA polymerase I; functions with Las1p in a conserved mechanism to modulate rRNA processing and ribosome biogenesis; required for cell growth; mRNA is cell-cycle regulated	transcription from RNA polymerase I promoter, rRNA processing, ribosomal large subunit biogenesis, DNA-templated transcription, termination	kinase activity, transferase activity	nucleus, nucleolus, chromosome	21523	chr12_1	-	-	
401	B	11	YLL036C	PRP19	E3 ubiquitin-protein ligase PRP19|PSO4	Splicing factor associated with the spliceosome; contains a U-box, a motif found in a class of ubiquitin ligases, and a WD40 domain; relocalizes to the cytosol in response to hypoxia	RNA splicing, mRNA processing	transferase activity	nucleus, mitochondrion, cytoplasm	21524	chr12_1	-	-	
401	B	12	YLL037W	-	-	Dubious open reading frame unlikely to encode a functional protein; overlaps 3' end of essential PRP19 gene encoding an RNA splicing factor	biological_process	molecular_function	cellular_component	21525	chr12_1	-	-	
401	C	1	YLL050C	COF1	cofilin	Cofilin, involved in pH-dependent actin filament depolarization; binds both actin monomers and filaments and severs filaments; involved in the selective sorting, export of the secretory cargo from the late golgi; genetically interacts with pmr1; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes	cytoskeleton organization, Golgi vesicle transport, endocytosis	cytoskeletal protein binding	cell cortex, cytoskeleton, membrane, cytoplasm, plasma membrane	21538	chr12_1	-	-	
401	C	2	YLR002C	NOC3	-	Subunit of a nuclear complex with Noc2p and pre-replicative complexes; the Noc2p-Noc3p complex binds to 66S ribosomal precursors to mediate their maturation and intranuclear transport; binds to chromatin at active replication origins, and is required for pre-RC formation and maintenance during DNA replication licensing	DNA replication, rRNA processing	chromatin binding	nucleus, nucleolus	21557	chr12_1	-	-	
401	C	3	YLR005W	SSL1	TFIIH/NER complex subunit SSL1	Subunit of the core form of RNA polymerase transcription factor TFIIH; has both protein kinase and DNA-dependent ATPase/helicase activities; essential for transcription and nucleotide excision repair; interacts with Tfb4p	DNA repair, protein phosphorylation, cellular response to DNA damage stimulus, transcription from RNA polymerase II promoter	transferase activity, transcription factor activity, protein binding	nucleus	21560	chr12_1	-	-	
401	C	4	YLR007W	NSE1	Smc5-Smc6 complex subunit NSE1	Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair	DNA repair, cellular response to DNA damage stimulus	transferase activity	nucleus, chromosome	21562	chr12_1	-	-	
401	C	5	YLR008C	PAM18	TIM14	Subunit of the import motor (PAM complex); the PAM complex is a  component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p	protein targeting, mitochondrion organization, transmembrane transport	enzyme regulator activity, unfolded protein binding	mitochondrion, membrane, mitochondrial envelope, cytoplasm	21563	chr12_1	-	-	
401	C	6	YLR009W	RLP24	ATPase-activating ribosome biosynthesis protein	Essential protein required for ribosomal large subunit biogenesis; associated with pre-60S ribosomal subunits; stimulates the ATPase activity of Afg2p, which is required for release of Rlp24p from the pre-60S particle; has similarity to Rpl24Ap and Rpl24Bp	ribosomal large subunit biogenesis	enzyme regulator activity	nucleus, nucleolus	21564	chr12_1	-	-	
401	C	7	YLR010C	TEN1	-	Protein that regulates telomeric length; protects telomeric ends in a complex with Cdc13p and Stn1p; similar to human Ten1 which is critical for the telomeric function of the CST (Cdc13p-Stn1p-Ten1p) complex	telomere organization, regulation of organelle organization, regulation of DNA metabolic process	DNA binding	nucleus, chromosome	21565	chr12_1	-	-	
401	C	8	YLR022C	SDO1	guanine nucleotide exchange factor SDO1	Guanine nucleotide exchange factor (GEF) for Ria1p; essential protein involved in ribosome maturation; with Ria1p, promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archaea and eukaryotes	ribosome assembly, organelle assembly	guanyl-nucleotide exchange factor activity	nucleus, cytoplasm	21577	chr12_1	-	-	
401	C	9	YLR026C	SED5	t-SNARE syntaxin	cis-Golgi t-SNARE syntaxin; required for vesicular transport between the ER and the Golgi complex; binds at least 9 SNARE proteins	membrane fusion, Golgi vesicle transport, organelle fusion, vesicle organization	other	membrane, cytoplasm	21581	chr12_1	-	-	
401	C	10	YLR029C	RPL15A	eL15|ribosomal 60S subunit protein L15A|L15e|rp15R|YL10|L15A|L13A|RPL10A	Ribosomal 60S subunit protein L15A; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15A has a paralog, RPL15B, that arose from the whole genome duplication	cytoplasmic translation	RNA binding, structural molecule activity, structural constituent of ribosome	ribosome, cytoplasm	21584	chr12_1	-	-	
401	C	11	YLR045C	STU2	-	Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p	mitotic cell cycle, organelle fission, cytoskeleton organization, protein complex biogenesis	cytoskeletal protein binding, structural molecule activity	nucleus, cell cortex, cytoskeleton, microtubule organizing center, chromosome, cytoplasm	22656	chr12_2	-	-	
401	C	12	YLR051C	FCF2	-	Nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon; essential gene	rRNA processing, ribosomal small subunit biogenesis	molecular_function	nucleus, nucleolus	22662	chr12_2	-	-	
401	D	1	YLR060W	FRS1	phenylalanine--tRNA ligase subunit beta	Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis-aminoacylated tRNA-Phe, which could contribute to translational quality control	tRNA aminoacylation for protein translation, cellular amino acid metabolic process	ligase activity	cytoplasm	22671	chr12_2	-	-	
401	D	2	YLR066W	SPC3	signal peptidase complex subunit SPC3	Subunit of signal peptidase complex; complex catalyzes cleavage of N-terminal signal sequences of proteins targeted to the secretory pathway; homologous to mammalian SPC22/23; other members of the complex are Spc1p, Spc2p, and Sec11p	protein targeting, protein maturation	peptidase activity, hydrolase activity	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	22677	chr12_2	-	-	
401	D	3	YLR071C	RGR1	MED14	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for glucose repression, HO repression, RME1 repression and sporulation	transcription from RNA polymerase II promoter	transcription factor binding	nucleus	22682	chr12_2	-	-	
401	D	4	YLR075W	RPL10	uL16|ribosomal 60S subunit protein L10|L16|L10|QSR1|GRC5	Ribosomal 60S subunit protein L10; homologous to mammalian ribosomal protein L10 and bacterial L16; responsible for joining the 40S and 60S subunits; regulates translation initiation; similar to members of the QM gene family; protein abundance increases under DNA replication stress; mutations in human homolog implicated in T-cell acute lymphoblastic leukemia and also autism spectrum disorders (ASD); human RPL10 can complement yeast null mutant	cytoplasmic translation, organelle assembly, ribosomal large subunit biogenesis, ribosome assembly	structural constituent of ribosome, structural molecule activity	ribosome, cytoplasm	22686	chr12_2	-	-	
401	D	5	YLR076C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the essential gene RPL10 which encodes the ribosomal protein L10	biological_process	molecular_function	cellular_component	22687	chr12_2	-	-	
401	D	6	YLR078C	BOS1	SEC32	v-SNARE (vesicle specific SNAP receptor); localized to the endoplasmic reticulum membrane and necessary for vesicular transport from the ER to the Golgi; required for efficient nuclear fusion during mating	organelle fusion, vesicle organization, Golgi vesicle transport, membrane fusion	other	cytoplasmic vesicle, endomembrane system, membrane, endoplasmic reticulum, cytoplasm	22689	chr12_2	-	-	
401	D	7	YLR086W	SMC4	condensin subunit SMC4	Subunit of the condensin complex; condensin reorganizes chromosomes during both mitosis and meiosis; forms a subcomplex with Smc2p that has ATP-hydrolyzing and DNA-binding activity, but other condensin subunits are required for chromatin binding; required for tRNA gene clustering at the nucleolus; potential Cdc28p substrate	mitotic cell cycle, meiotic cell cycle, organelle fission, DNA replication, chromosome segregation	chromatin binding, hydrolase activity, ATPase activity	nucleus, chromosome	22697	chr12_2	-	-	
401	D	8	YLR088W	GAA1	GPI-anchor transamidase subunit GAA1|END2	Subunit of the GPI:protein transamidase complex; removes the GPI-anchoring signal and attaches GPI (glycosylphosphatidylinositol) to proteins in the ER; human homolog GPAA1 can complement growth defects of yeast thermosensitive mutant at restrictive temperature	lipid metabolic process, protein lipidation	hydrolase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	22699	chr12_2	-	-	
401	D	9	YLR100W	ERG27	3-keto-steroid reductase	3-keto sterol reductase; catalyzes the last of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; mutants are sterol auxotrophs; mutation is functionally complemented by human HSD17B7	lipid metabolic process	oxidoreductase activity	endomembrane system, mitochondrion, membrane, mitochondrial envelope, endoplasmic reticulum, cytoplasm	22711	chr12_2	-	-	
401	D	10	YLR101C	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified, essential ORF ERG27/YLR100W	biological_process	molecular_function	membrane	22712	chr12_2	-	-	
401	D	11	YLR103C	CDC45	DNA replication initiation factor CDC45|SLD4	DNA replication initiation factor; recruited to MCM pre-RC complexes at replication origins; promotes release of MCM from Mcm10p, recruits elongation machinery; binds tightly to ssDNA, which disrupts interaction with the MCM helicase and stalls it during replication stress; mutants in human homolog may cause velocardiofacial and DiGeorge syndromes	DNA repair, chromatin organization, DNA replication, cellular response to DNA damage stimulus, DNA recombination	chromatin binding, DNA binding	nucleus, chromosome	22714	chr12_2	-	-	
401	D	12	YLR105C	SEN2	tRNA splicing endonuclease subunit SEN2	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen2p contains the active site for tRNA 5' splice site cleavage and has similarity to Sen34p and to Archaeal tRNA splicing endonuclease;	RNA splicing, tRNA processing	hydrolase activity, nuclease activity	nucleus, mitochondrion, membrane, mitochondrial envelope, cytoplasm	22716	chr12_2	-	-	
401	E	1	YLR106C	MDN1	AAA family ATPase midasin|REA1	Huge dynein-related AAA-type ATPase (midasin); forms extended pre-60S particle with the Rix1 complex (Rix1p-Ipi1p-Ipi3p); acts in removal of ribosomal biogenesis factors at successive steps of pre-60S assembly and export from nucleus	rRNA processing, organelle assembly, ribosomal large subunit biogenesis, ribosome assembly	hydrolase activity, ATPase activity	nucleus, mitochondrion, cytoplasm	22717	chr12_2	-	-	
401	E	2	YLR115W	CFT2	cleavage polyadenylation factor subunit CFT2|YDH1	Subunit of the mRNA cleavage and polyadenlylation factor (CPF); required for pre-mRNA cleavage, polyadenylation and poly(A) site recognition, 43% similarity with the mammalian CPSF-100 protein.	mRNA processing	RNA binding	nucleus	22726	chr12_2	-	-	
401	E	3	YLR116W	MSL5	mRNA splicing protein MSL5|BBP	Component of commitment complex; which defines first step in splicing pathway; essential protein that interacts with Mud2p and Prp40p, forming a bridge between the intron ends; also involved in nuclear retention of pre-mRNA; relocalizes to the cytosol in response to hypoxia	RNA splicing, mRNA processing	RNA binding	nucleus, cytoplasm	22727	chr12_2	-	-	
401	E	4	YLR117C	CLF1	NTC77|SYF3	Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; homolog of Drosophila crooked neck protein; interacts with U1 snRNP proteins	RNA splicing, DNA replication, mRNA processing	chromatin binding, DNA binding	nucleus, chromosome	22728	chr12_2	-	-	
401	E	5	YML043C	RRN11	-	Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p	transcription from RNA polymerase I promoter, DNA-templated transcription, initiation	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus, nucleolus	20528	chr13_1b	-	-	
401	E	6	YML049C	RSE1	U2 snRNP complex subunit RSE1	Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport	RNA splicing, mRNA processing	RNA binding	nucleus	20522	chr13_1b	-	-	
401	E	7	YML064C	TEM1	Ras family GTPase TEM1	GTP-binding protein of the Ras superfamily; involved in termination of M-phase; controls actomyosin and septin dynamics during cytokinesis	mitotic cell cycle, organelle fission, cytoskeleton organization, regulation of organelle organization, chromosome segregation, regulation of cell cycle	GTPase activity, hydrolase activity	cytoskeleton, microtubule organizing center, cytoplasm	20506	chr13_1b	-	-	
401	E	8	YML065W	ORC1	origin recognition complex subunit 1	Largest subunit of the origin recognition complex; involved in directing DNA replication by binding to replication origins; also involved in transcriptional silencing; exhibits ATPase activity; ORC1 has a paralog, SIR3, that arose from the whole genome duplication	chromatin organization, DNA replication	chromatin binding, hydrolase activity, DNA binding, ion binding, ATPase activity	nucleus, chromosome	20505	chr13_1b	-	-	
401	E	9	YML010W	SPT5	transcription elongation factor SPT5	Spt4p/5p (DSIF) transcription elongation factor complex subunit; the Spt4/5 complex binds to ssRNA in a sequence-specific manner, and in concert with RNAP I and II has multiple roles regulating transcriptional elongation, RNA processing, quality control, and transcription-coupled repair; interacts with DNA upstream of RNAPII and the non-template strand of the transcription bubble; Spt5p is the only transcription elongation factor conserved in all domains of life	transcription from RNA polymerase I promoter, mRNA processing, transcription from RNA polymerase II promoter, DNA-templated transcription, elongation, DNA repair, RNA splicing, rRNA processing, cellular response to DNA damage stimulus, regulation of DNA metabolic process	RNA binding, enzyme binding, rRNA binding, DNA binding, transcription factor activity, protein binding, mRNA binding, transcription factor binding	nucleus, chromosome, mitochondrion, cytoplasm	20564	chr13_2	-	-	
401	E	10	YML025C	YML6	mitochondrial 54S ribosomal protein YmL6	Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein; essential for viability, unlike most other mitoribosomal proteins	mitochondrial translation, mitochondrion organization	structural molecule activity, structural constituent of ribosome	ribosome, mitochondrion, cytoplasm	20548	chr13_2	-	-	
401	E	11	YMR001C	CDC5	polo kinase CDC5|PKX2|MSD2	Polo-like kinase; controls targeting and activation of Rho1p at cell division site via Rho1p guanine nucleotide exchange factors; regulates Spc72p; also functions in adaptation to DNA damage during meiosis; regulates the shape of the nucleus and expansion of the nuclear envelope during mitosis; similar to Xenopus Plx1 and S. pombe Plo1p; human homologs PLK1, PLK3 can each complement yeast cdc5 thermosensitive mutants	mitotic cell cycle, meiotic cell cycle, organelle fission, cytoskeleton organization, DNA recombination, protein phosphorylation, regulation of organelle organization, organelle assembly, chromosome segregation, regulation of cell cycle, nucleus organization	kinase activity, transferase activity, enzyme regulator activity, DNA binding	nucleus, cytoskeleton, chromosome, cellular bud, site of polarized growth	20576	chr13_2	-	-	
401	E	12	YMR013C	SEC59	dolichol kinase	Dolichol kinase; catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation	lipid metabolic process	kinase activity, transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	20588	chr13_2	-	-	
401	F	1	YMR028W	TAP42	-	Essential protein involved in the TOR signaling pathway; physically associates with the protein phosphatase 2A and the SIT4 protein phosphatase catalytic subunits	transcription from RNA polymerase I promoter, signaling	molecular_function	membrane, cytoplasm	20603	chr13_2	-	-	
401	F	2	YMR043W	MCM1	transcription factor MCM1|FUN80	Transcription factor; involved in cell-type-specific transcription and pheromone response; plays a central role in the formation of both repressor and activator complexes; relocalizes to the cytosol in response to hypoxia	mitotic cell cycle, DNA replication, cellular amino acid metabolic process, transcription from RNA polymerase II promoter	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus, chromosome, cytoplasm	20619	chr13_2	-	-	
401	F	3	YMR146C	TIF34	translation initiation factor eIF3 subunit i	eIF3i subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; stimulates rate of ribosomal scanning during translation reinitiation; eIF3 is also involved in programmed stop codon readthrough	cytoplasmic translation, translational initiation	RNA binding, translation factor activity, RNA binding	cytoplasm	20727	chr13_4	-	-	
401	F	4	YMR149W	SWP1	dolichyl-diphosphooligosaccharide-protein glycotransferase	Delta subunit of the oligosaccharyl transferase glycoprotein complex; complex is required for N-linked glycosylation of proteins in the endoplasmic reticulum	protein glycosylation	transferase activity, transferring glycosyl groups, transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	20730	chr13_4	-	-	
401	F	5	YMR168C	CEP3	CSL1|CBF3B|CBF3	Essential kinetochore protein; component of the CBF3 complex that binds the CDEIII region of the centromere; contains an N-terminal Zn2Cys6 type zinc finger domain, a C-terminal acidic domain, and a putative coiled coil dimerization domain	mitotic cell cycle, organelle fission, cytoskeleton organization, regulation of organelle organization, organelle assembly, protein complex biogenesis, chromosome segregation, regulation of cell cycle	DNA binding	nucleus, chromosome	20751	chr13_4	-	-	
401	F	6	YMR197C	VTI1	v-SNARE protein VTI1	Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES, Sed5p and Pep12p; required for multiple vacuolar sorting pathways; human homolog VTI1A can complement yeast null mutant	vacuole organization, organelle fusion, vesicle organization, Golgi vesicle transport, membrane fusion	other	endomembrane system, vacuole, membrane, Golgi apparatus, cytoplasm	20783	chr13_4	-	-	
401	F	7	YMR200W	ROT1	-	Molecular chaperone involved in protein folding in ER; mutation causes defects in cell wall synthesis and lysis of autophagic bodies, suppresses tor2 mutations, and is synthetically lethal with kar2-1 and with rot2 mutations; involved in N-linked glycosylation and O-mannosylation; transmembrane helix Ser250 is essential for Rot1p to interact with other membrane components and exert its functional role, avoiding exposure of Ser H-bonding group at lipid-exposed surface	cell budding, cytoskeleton organization, protein glycosylation, protein folding, cell wall organization or biogenesis	unfolded protein binding	endomembrane system, membrane, endoplasmic reticulum, cytoplasm	20786	chr13_4	-	-	
401	F	8	YMR203W	TOM40	MOM38|ISP42	Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore; pre-Tom40p is phosphorylated by PKA, which impairs its import into mitochondria under non-respiratory conditions	protein targeting, mitochondrion organization, transmembrane transport	protein transporter activity, transmembrane transporter activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	20789	chr13_4	-	-	
401	F	9	YMR208W	ERG12	mevalonate kinase|RAR1	Mevalonate kinase; acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate; human MVK functionally complements the lethality of the erg12 null mutation	lipid metabolic process, cofactor metabolic process	kinase activity, transferase activity	nucleus, cytoplasm	20794	chr13_4	-	-	
