mat a
all strains contain gfp tagged protein with his3 marker													
Synced to SGD on Sat Jul  8 00:51:42 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	abundance	original localization	comments	typical to this lib	
1	A	11	YBR208C	DUR1,2	bifunctional urea carboxylase/allophanate hydrolase|DUR80	Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress	other	ligase activity, hydrolase activity	cytoplasm	952	cytoplasm	-	-	
1	A	12	YAL017W	PSK1	serine/threonine protein kinase PSK1|FUN31	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication	carbohydrate metabolic process, protein phosphorylation, generation of precursor metabolites and energy	kinase activity, transferase activity	cytoplasm	967	cytoplasm	-	-	
1	A	13	YNL172W	APC1	anaphase promoting complex subunit 1	Largest subunit of the Anaphase-Promoting Complex/Cyclosome; APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; localizes to nuclear foci that become diffuse upon DNA replication stress	mitotic cell cycle, organelle fission, regulation of organelle organization, proteolysis involved in cellular protein catabolic process, chromosome segregation, protein modification by small protein conjugation or removal, regulation of cell cycle	transferase activity	nucleus	178	"cytoplasm,nucleus,spindle pole"	-	-	
1	A	14	YCR073C	SSK22	mitogen-activated protein kinase kinase kinase SSK22	MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; functionally redundant with Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p; SSK22 has a paralog, SSK2, that arose from the whole genome duplication	protein phosphorylation, signaling, response to osmotic stress	kinase activity, transferase activity, signal transducer activity	cellular_component	-	-	-	-	
1	A	15	YOR341W	RPA190	DNA-directed RNA polymerase I core subunit RPA190|A190|RRN1	RNA polymerase I largest subunit A190	transcription from RNA polymerase I promoter	chromatin binding, transferase activity, nucleotidyltransferase activity	nucleus, nucleolus	2840	nucleolus	-	-	
1	A	16	YDR159W	SAC3	LEP1	mRNA export factor; required for biogenesis of the small ribosomal subunit; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; similar to the human germinal center-associated nuclear protein (GANP)	mitotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, nucleobase-containing compound transport, ribosomal small subunit biogenesis, RNA catabolic process, mRNA processing, nuclear transport	other	nucleus, endomembrane system	339	nuclear periphery	-	-	
1	A	17	YGR098C	ESP1	separase	Separase, a caspase-like cysteine protease; promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin; inhibits protein phosphatase 2A-Cdc55p to promote mitotic exit; inhibited by Pds1p; relative distribution to the nucleus increases upon DNA replication stress	mitotic cell cycle, organelle fission, protein dephosphorylation, cytoskeleton organization, regulation of organelle organization, chromosome segregation, regulation of protein modification process, regulation of cell cycle	peptidase activity, hydrolase activity	nucleus, cytoskeleton, mitochondrion, cytoplasm	low signal	"cytoplasm,nucleus"	-	-	
1	A	18	YMR076C	PDS5	-	Cohesion maintenance factor; involved in sister chromatid condensation and cohesion; colocalizes with cohesin on chromosomes; performs its cohesin maintenance function in pre-anaphase cells by protecting the integrity of the cohesion complex; also required during meiosis; relocalizes to the cytosol in response to hypoxia	mitotic cell cycle, meiotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, chromosome segregation	structural molecule activity	nucleus, chromosome, cytoplasm	7720	nucleus	-	-	
1	A	19	YOR326W	MYO2	myosin 2|CDC66	Type V myosin motor involved in actin-based transport of cargos; required for the polarized delivery of secretory vesicles, the vacuole, late Golgi elements, peroxisomes, and the mitotic spindle; MYO2 has a paralog, MYO4, that arose from the whole genome duplication	vacuole organization, mitotic cell cycle, cytoskeleton organization, peroxisome organization, cell budding, cell morphogenesis, mitochondrion organization, cytokinesis, organelle inheritance, exocytosis	hydrolase activity, cytoskeletal protein binding	cytoskeleton, vacuole, cytoplasmic vesicle, endomembrane system, cellular bud, membrane, site of polarized growth, cytoplasm	4340	"ambiguous,bud neck,cytoplasm,cell periphery,bud"	-	-	
1	A	20	YJL197W	UBP12	putative ubiquitin-specific protease UBP12	Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; present in the nucleus and cytoplasm	biological_process	peptidase activity, hydrolase activity	nucleus, cytoplasm	7110	"cytoplasm,nucleus"	-	-	
1	A	21	YGL173C	XRN1	chromatin-binding exonuclease XRN1|KEM1|SKI1|SEP1|RAR5|DST2	Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; also enters the nucleus and positively regulates transcription initiation and elongation; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance; activated by the scavenger decapping enzyme Dcs1p	mitotic cell cycle, snoRNA processing, DNA-templated transcription, initiation, transcription from RNA polymerase II promoter, DNA-templated transcription, elongation, rRNA processing, protein complex biogenesis, RNA catabolic process, regulation of cell cycle	chromatin binding, RNA binding, hydrolase activity, mRNA binding, nuclease activity	nucleus, cytoplasm	11700	cytoplasm	-	-	
1	A	22	YLL066C	-	Y' element ATP-dependent helicase	Putative Y' element ATP-dependent helicase; YLL066C is not an essential gene	biological_process	helicase activity, hydrolase activity	cellular_component	-	-	-	-	
1	A	23	YDR180W	SCC2	cohesin-loading factor complex subunit SCC2	Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; promotes gene expression program that supports translational fidelity; evolutionarily-conserved adherin; relocalizes to cytosol in response to hypoxia; human disorder Cornelia de Lange syndrome is caused by mutations in NIPBL, the human ortholog of SCC2	mitotic cell cycle, DNA repair, organelle fission, cellular response to DNA damage stimulus, chromosome segregation, DNA recombination	molecular_function	nucleus, chromosome, cytoplasm	3310	nucleus	-	-	
1	A	24	YNL257C	SIP3	LAM3	Putative sterol transfer protein; has a probable role in retrograde transport of sterols from the plasma membrane to the ER; co-localizes to puncta in the cortical ER with Ysp2p; contains GRAM, StART-like (VASt) and two PH-like domains; one of 6 StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; previously identified as a transcription cofactor that interacts with DNA-bound Snf1p	lipid transport, transcription from RNA polymerase II promoter	transcription factor activity, protein binding	cell cortex, endomembrane system, membrane, endoplasmic reticulum, cytoplasm, plasma membrane	432	ambiguous	-	-	
1	B	1	YOR396W	YRF1-8	Y' element ATP-dependent helicase protein 1 copy 8	One of several telomeric Y' element-encoded DNA helicases; known as Y'-Help1 (Y'-HELicase Protein 1)	biological_process	helicase activity, hydrolase activity	cellular_component	-	-	-	-	
1	B	2	YJR035W	RAD26	DNA-dependent ATPase RAD26	Protein involved in transcription-coupled nucleotide excision repair; repairs UV-induced DNA lesions; recruitment to DNA lesions is dependent on an elongating RNA polymerase II; homolog of human CSB protein	DNA repair, chromatin organization, cellular response to DNA damage stimulus	ATPase activity, hydrolase activity	nucleus, cytoplasm	low signal	"cytoplasm,nucleus"	-	-	
1	B	3	YML091C	RPM2	ribonuclease P	Protein subunit of mitochondrial RNase P; has roles in nuclear transcription, cytoplasmic and mitochondrial RNA processing, and mitochondrial translation; distributed to mitochondria, cytoplasmic processing bodies, and the nucleus	cytoplasmic translation, mitochondrion organization, tRNA processing, mRNA processing, transcription from RNA polymerase II promoter	hydrolase activity, nuclease activity	nucleus, mitochondrion, cytoplasm	1160	mitochondrion	-	-	
1	B	4	YHR102W	KIC1	putative serine/threonine protein kinase KIC1|NRK1	Protein kinase of the PAK/Ste20 family, required for cell integrity; physically interacts with Cdc31p (centrin), which is a component of the spindle pole body; part of the RAM network that regulates cellular polarity and morphogenesis	cell morphogenesis, cell budding, cell wall organization or biogenesis	kinase activity, transferase activity	cellular bud, site of polarized growth, cytoplasm	1040	cytoplasm	-	-	
1	B	5	YOR086C	TCB1	tricalbin	Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication	lipid metabolic process	lipid binding	cell cortex, endomembrane system, mitochondrion, membrane, endoplasmic reticulum, cytoplasm, plasma membrane	6140	cell periphery	-	-	
1	B	6	YJL050W	MTR4	ATP-dependent RNA helicase MTR4|DOB1	ATP-dependent 3'-5' RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of TRAMP complex and in TRAMP-independent processes; TRAMP unwinds RNA duplexes, with Mtr4p unwinding activity stimulated by Pap2p/Air2p but not dependent on ongoing polyadenylation; contains an arch domain, with two coiled-coil arms/stalks and a globular fist/KOW domain, which has RNA binding activity and is required for 5.8S rRNA processing	snoRNA processing, rRNA processing, nucleobase-containing compound transport, RNA catabolic process, nuclear transport	RNA binding, hydrolase activity, ATPase activity, helicase activity, mRNA binding	nucleus, nucleolus	12500	"nucleolus,nucleus"	-	-	
1	B	7	YOL078W	AVO1	-	Component of a membrane-bound complex containing the Tor2p kinase; contains Tor2p kinase and other proteins; may have a role in regulation of cell growth	cytoskeleton organization, cell wall organization or biogenesis, signaling	lipid binding, enzyme binding, ion binding	membrane, cytoplasm, plasma membrane	-	-	-	-	
1	B	8	YGR274C	TAF1	KAT4|TafII145|TafII130|TAF145|TAF130	TFIID subunit, involved in RNA pol II transcription initiation; possesses in vitro histone acetyltransferase activity but its role in vivo appears to be minor; involved in promoter binding and G1/S progression; relocalizes to the cytosol in response to hypoxia	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	chromatin binding, nucleic acid binding transcription factor activity, transferase activity, structural molecule activity, transcription factor binding	nucleus, cytoplasm	1500	nucleus	-	-	
1	B	9	YJR151C	DAN4	-	Cell wall mannoprotein; has similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth	biological_process	molecular_function	cell wall	-	-	-	-	
1	B	10	YBL066C	SEF1	-	Putative transcription factor; has homolog in Kluyveromyces lactis	biological_process	molecular_function	cellular_component	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
1	B	11	YGR097W	ASK10	RGC2	Regulator of the Fps1p glycerol channel; under nonstress conditions, binds to Fps1p to positively regulate glycerol transport; under osmotic stress, multiple phosphorylation by Hog1p causes Ask10p to dissociate from Fps1p; forms homodimers and heterodimerizes with paralog Rgc1p; phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; associates with RNA polymerase II holoenzyme	response to chemical, carbohydrate transport, regulation of transport, response to oxidative stress	other	nucleus, cytoplasm	low signal	cytoplasm	-	-	
1	B	12	YCR092C	MSH3	mismatch repair protein MSH3	Mismatch repair protein; forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability	meiotic cell cycle, DNA repair, organelle fission, DNA replication, cellular response to DNA damage stimulus, DNA recombination, regulation of DNA metabolic process	DNA binding	nucleus, cytoplasm	736	"cytoplasm,nucleus"	-	-	
1	B	13	YOR188W	MSB1	-	Protein of unknown function; may be involved in positive regulation of 1,3-beta-glucan synthesis and the Pkc1p-MAPK pathway; multicopy suppressor of temperature-sensitive mutations in CDC24 and CDC42, and of mutations in BEM4; potential Cdc28p substrate; relocalizes from bud neck to cytoplasm upon DNA replication stress	other	molecular_function	cellular bud, membrane, site of polarized growth, mitochondrion, plasma membrane, cytoplasm	172	"bud neck,cytoplasm"	-	-	
1	B	14	YEL061C	CIN8	kinesin motor protein CIN8|SDS15|KSL2	Kinesin motor protein; involved in mitotic spindle assembly and chromosome segregation	mitotic cell cycle, organelle fission, cytoskeleton organization, organelle assembly, chromosome segregation	hydrolase activity, ATPase activity	nucleus, cytoskeleton, chromosome, mitochondrion, cytoplasm	238	"spindle pole,microtubule"	-	-	
1	B	15	YML104C	MDM1	-	PtdIns-3-P binding protein that tethers the ER to vacuoles at NVJs; anchored in the ER membrane at nucleus-vacuole junctions and binds phosphatidylinositol 3-phosphate (PtdIns-3-P) in the vacuolar membrane via its Phox homology (PX) domain; expressed predominantly in late G1 to early S phase of the cell cycle; mutation affects nuclear and mitochondrial transmission to daughter buds; similar to 4 human genes, one of which (SNX14) is associated with neurological disease	mitochondrion organization, organelle inheritance, nucleus organization	lipid binding, ion binding	vacuole, membrane, cytoplasm	784	ambiguous	-	-	
1	B	16	YMR189W	GCV2	glycine decarboxylase subunit P|GSD2	P subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm	cellular amino acid metabolic process	oxidoreductase activity	mitochondrion, cytoplasm	12000	mitochondrion	-	-	
1	B	17	YIL151C	ESL1	-	hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl1p and Esl2p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; ESL1 has a paralog, ESL2, that arose from the whole genome duplication	biological_process	molecular_function	cellular_component	504	ambiguous	-	-	
1	B	18	YDR060W	MAK21	RNA-binding ribosome biosynthesis protein MAK21|NOC1	Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein	ribosome assembly, organelle assembly, ribosomal large subunit biogenesis	RNA binding, mRNA binding	nucleus	15000	nucleolus	-	-	
1	B	19	YER110C	KAP123	YRB4	Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1	protein targeting, pseudohyphal growth, nuclear transport	protein transporter activity	nucleus, endomembrane system, membrane, cytoplasm	38300	"cytoplasm,nucleus"	-	-	
1	B	20	YDR028C	REG1	protein phosphatase regulator REG1|SRN1|SPP43|PZF240|HEX2	Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication	carbohydrate metabolic process, response to chemical, chromatin organization, generation of precursor metabolites and energy, response to starvation, transcription from RNA polymerase II promoter	enzyme regulator activity	cytoplasm	2560	cytoplasm	-	-	
1	B	21	YPL216W	-	-	Putative protein of unknown function; not an essential gene; YPL216W has a paralog, ITC1, that arose from the whole genome duplication	biological_process	molecular_function	cellular_component	-	-	-	-	
1	B	22	YOR048C	RAT1	ssRNA exonuclease RAT1|XRN2|TAP1|HKE1	Nuclear 5' to 3' single-stranded RNA exonuclease; involved in RNA metabolism, including rRNA and snoRNA processing, as well as poly (A+) dependent and independent mRNA transcription termination; required for cotranscriptional pre-rRNA cleavage; displaces Cdk1p from elongating transcripts, especially as RNAPII reaches the poly(A) site, negatively regulates phosphorylation of the CTD of RNAPII, and inhibits RNAPII transcriptional elongation	snoRNA processing, ribosomal large subunit biogenesis, DNA-templated transcription, termination, transcription from RNA polymerase II promoter, DNA-templated transcription, elongation, protein phosphorylation, rRNA processing, RNA catabolic process, regulation of protein modification process	RNA binding, hydrolase activity, mRNA binding, nuclease activity	nucleus, mitochondrion, cytoplasm	623	nucleus	-	-	
1	B	23	YBR150C	TBS1	-	Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; TBS1 has a paralog, HAL9, that arose from the whole genome duplication	biological_process	DNA binding	nucleus, mitochondrion, cytoplasm	573	"cytoplasm,nucleus"	-	-	
1	B	24	YDL031W	DBP10	putative ATP-dependent RNA helicase DBP10	Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis	rRNA processing, ribosomal large subunit biogenesis	helicase activity, ATPase activity, hydrolase activity	nucleus, nucleolus	-	-	-	may have trouble growing up from this copy since (too) little caught up from Weissman lab copy	
1	C	1	YKR054C	DYN1	dynein heavy chain|PAC6|DHC1	Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p; motility along microtubules inhibited by She1p	mitotic cell cycle, organelle fission, cytoskeleton organization, chromosome segregation	hydrolase activity, ion binding, ATPase activity	cell cortex, cytoskeleton, microtubule organizing center, cytoplasm	195	cytoplasm	-	-	
1	C	2	YOR116C	RPO31	DNA-directed RNA polymerase III core subunit RPO31|C160|RPC160|RPC1	RNA polymerase III largest subunit C160; part of core enzyme; similar to bacterial beta-prime subunit and to RPA190 and RPO21	transcription from RNA polymerase III promoter	transferase activity, nucleotidyltransferase activity	nucleus	6020	nucleus	-	-	
1	C	3	YPR117W	-	BSH1	Putative protein of unknown function	biological_process	molecular_function	cellular_component	-	-	-	-	
1	C	4	YAL024C	LTE1	mitotic regulator LTE1|MSI2	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	mitotic cell cycle, organelle fission, regulation of organelle organization, regulation of cell cycle, chromosome segregation	guanyl-nucleotide exchange factor activity	cellular bud	304	cytoplasm	-	-	
1	C	5	YPL085W	SEC16	LPF1	COPII vesicle coat protein required for ER transport vesicle budding; essential factor in endoplasmic reticulum exit site (ERES) formation, as well as in COPII-mediated ER-to-Golgi traffic; bound to periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p, Sec24p and Sec31p	vesicle organization, protein complex biogenesis, Golgi vesicle transport	other	cytoplasmic vesicle, endomembrane system, membrane, endoplasmic reticulum, cytoplasm	358	ER to Golgi	-	-	
1	C	6	YDR443C	SSN2	SSX5|MED13|RYE3|UME2|SRB9|SCA1|NUT8	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for stable association of Srb10p-Srb11p kinase; essential for transcriptional regulation	response to chemical, transcription from RNA polymerase II promoter	transcription factor activity, protein binding	nucleus	low signal	"cytoplasm,nucleus"	-	-	
1	C	7	YJL207C	LAA1	-	AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene	endosomal transport	molecular_function	cytoplasmic vesicle, endomembrane system, ribosome, membrane, Golgi apparatus, cytoplasm	300	late Golgi	-	-	
1	C	8	YGL131C	SNT2	DNA-binding E3 ubiquitin-protein ligase SNT2	Subunit of Snt2C complex, RING finger ubiquitin ligase (E3); physically associates with Ecm5p and Rpd3p; along with Ecm5p, recruits Rpd3p to small number of promoters; colocalizes with Ecm5p, independently of Rpd3p, to promoters of stress response genes upon oxidative stress; involved in ubiquitination, degradation of excess histones; interacts with Ubc4p; role in regulating genes encoding amine transporters; relocalizes from nucleus to cytoplasm upon DNA replication stress	response to chemical, chromatin organization, response to oxidative stress, histone modification, protein modification by small protein conjugation or removal, transcription from RNA polymerase II promoter	transferase activity, DNA binding	nucleus, chromosome, cytoplasm	technical problem	"cytoplasm,nucleus"	-	-	
1	C	9	YLR305C	STT4	1-phosphatidylinositol 4-kinase STT4	Phosphatidylinositol-4-kinase; functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization	mitochondrion organization, lipid metabolic process	kinase activity, transferase activity	mitochondrion, membrane, cytoplasm, plasma membrane	-	-	-	-	
1	C	10	YIR019C	FLO11	MUC1|STA4	GPI-anchored cell surface glycoprotein (flocculin); required for pseudohyphal and invasive growth, flocculation, and biofilm formation; major determinant of colony morphology; transcription regulated by the MAPK pathway (Ste12p and Tec1p) and the cAMP pathway (Flo8p); required for formation of fibrous interconnections between cells of a wild strain; role in co-flocculation with other yeast species; cleaved and shed from cells, contributing to their surface properties	invasive growth in response to glucose limitation, pseudohyphal growth	molecular_function	vacuole, cellular bud, extracellular region, membrane, site of polarized growth, cytoplasm, plasma membrane	-	-	-	-	
1	C	11	YDR545W	YRF1-1	Y' element ATP-dependent helicase protein 1 copy 1|YRF1	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p	telomere organization, DNA recombination	helicase activity, hydrolase activity	nucleus	-	-	-	-	
1	C	12	YLR371W	ROM2	Rho family guanine nucleotide exchange factor ROM2	Guanine nucleotide exchange factor (GEF) for Rho1p and Rho2p; mutations are synthetically lethal with mutations in rom1, which also encodes a GEF; Rom2p localization to the bud surface is dependent on Ack1p; ROM2 has a paralog, ROM1, that arose from the whole genome duplication	regulation of transport, cell wall organization or biogenesis, signaling, endocytosis	guanyl-nucleotide exchange factor activity, lipid binding, ion binding, signal transducer activity	nucleus, cellular bud, site of polarized growth	not visualized	"bud neck,cytoplasm,bud"	-	-	
1	C	13	YDL140C	RPO21	DNA-directed RNA polymerase II core subunit RPO21|B220|SUA8|RPB220|RPB1	RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime	DNA repair, cellular response to DNA damage stimulus, transcription from RNA polymerase II promoter	transferase activity, nucleotidyltransferase activity, DNA binding	nucleus, mitochondrion, cytoplasm	technical problem	nucleus	-	-	
1	C	14	YDR216W	ADR1	DNA-binding transcription factor ADR1	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization	response to chemical, chromatin organization, regulation of organelle organization, peroxisome organization, monocarboxylic acid metabolic process, lipid metabolic process, transcription from RNA polymerase II promoter	nucleic acid binding transcription factor activity, DNA binding, transcription factor activity, protein binding, transcription factor binding	nucleus, cytoplasm	low signal	cytoplasm	-	-	
1	C	15	YDR283C	GCN2	serine/threonine-protein kinase GCN2|AAS102|NDR2|AAS1	Protein kinase; phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control	translational initiation, regulation of translation, protein phosphorylation, cellular response to DNA damage stimulus, response to starvation, regulation of cell cycle	RNA binding, kinase activity, transferase activity	ribosome, cytoplasm	279	cytoplasm	-	-	
1	C	16	YOR296W	-	-	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; expressed during copper starvation; YOR296W is not an essential gene	biological_process	molecular_function	cytoplasm	300	cytoplasm	-	-	
