Synced to SGD on Sat Jul  8 00:51:38 2017
Plate #	Row	Column	ORF	Gene	Alias	Description	GO Biological Process	GO Molecular Function	GO Cellular Component	original p	original r 	original c	
1	B	15	YLR008C	PAM18	TIM14	Subunit of the import motor (PAM complex); the PAM complex is a  component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p	protein targeting, mitochondrion organization, transmembrane transport	enzyme regulator activity, unfolded protein binding	mitochondrion, membrane, mitochondrial envelope, cytoplasm	2	A	8	-	
1	B	16	YBR253W	SRB6	MED22	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	transcription from RNA polymerase II promoter	molecular_function	nucleus	1	A	8	-	
1	B	17	YLR075W	RPL10	uL16|ribosomal 60S subunit protein L10|L16|L10|QSR1|GRC5	Ribosomal 60S subunit protein L10; homologous to mammalian ribosomal protein L10 and bacterial L16; responsible for joining the 40S and 60S subunits; regulates translation initiation; similar to members of the QM gene family; protein abundance increases under DNA replication stress; mutations in human homolog implicated in T-cell acute lymphoblastic leukemia and also autism spectrum disorders (ASD); human RPL10 can complement yeast null mutant	cytoplasmic translation, organelle assembly, ribosomal large subunit biogenesis, ribosome assembly	structural constituent of ribosome, structural molecule activity	ribosome, cytoplasm	2	A	9	-	
1	B	18	YCL004W	PGS1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase|YCL003W|PEL1	Phosphatidylglycerolphosphate synthase; catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis	lipid metabolic process	transferase activity	mitochondrion, cytoplasm	1	A	9	-	
1	B	19	YLR116W	MSL5	mRNA splicing protein MSL5|BBP	Component of commitment complex; which defines first step in splicing pathway; essential protein that interacts with Mud2p and Prp40p, forming a bridge between the intron ends; also involved in nuclear retention of pre-mRNA; relocalizes to the cytosol in response to hypoxia	RNA splicing, mRNA processing	RNA binding	nucleus, cytoplasm	2	A	10	-	
1	B	20	YDL058W	USO1	INT1	Essential protein involved in vesicle-mediated ER to Golgi transport; binds membranes and functions during vesicle docking to the Golgi; required for assembly of the ER-to-Golgi SNARE complex	organelle fusion, vesicle organization, protein complex biogenesis, Golgi vesicle transport, membrane fusion	molecular_function	cytoplasmic vesicle, endomembrane system, membrane, Golgi apparatus, cytoplasm	1	A	10	-	
1	B	21	YLR163C	MAS1	MIF1	Beta subunit of the mitochondrial processing protease (MPP); essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins	protein targeting, mitochondrion organization, protein maturation	peptidase activity, hydrolase activity	mitochondrion, cytoplasm	2	A	11	-	
1	B	22	YDL084W	SUB2	ATP-dependent RNA helicase SUB2	Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56; relocalizes from nucleus to cytoplasm upon DNA replication stress	DNA repair, RNA splicing, chromatin organization, cellular response to DNA damage stimulus, nucleobase-containing compound transport, mRNA processing, transcription from RNA polymerase II promoter, nuclear transport, DNA-templated transcription, elongation	hydrolase activity, ATPase activity, helicase activity	nucleus, chromosome, cytoplasm	1	A	11	-	
1	B	23	BLANK	BLANK	-	-	-	-	-	2	A	12	-	
1	B	24	YDL132W	CDC53	cullin CDC53	Cullin; structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation; human homolog CUL1 can complement yeast cdc53 null mutant	mitotic cell cycle, protein modification by small protein conjugation or removal, proteolysis involved in cellular protein catabolic process	protein binding, bridging, transferase activity, DNA binding	other	1	A	12	-	
1	C	1	YDL165W	CDC36	CCR4-NOT core subunit CDC36|NOT2|DNA19	Component of the CCR4-NOT core complex, involved in mRNA decapping; this complex has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs through deadenylation; basal transcription factor	response to chemical, RNA catabolic process, conjugation, protein modification by small protein conjugation or removal, transcription from RNA polymerase II promoter, DNA-templated transcription, elongation, regulation of cell cycle	transferase activity	nucleus, cytoplasm	4	B	1	-	
1	C	2	YBR038W	CHS2	chitin synthase CHS2	Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis	cytokinesis	transferase activity, transferring glycosyl groups, transferase activity	cellular bud, membrane, site of polarized growth	3	B	1	-	
1	C	3	BLANK	BLANK	-	-	-	-	-	4	B	2	-	
1	C	4	YBR055C	PRP6	U4/U6-U5 snRNP complex subunit PRP6|TSM7269|RNA6	Splicing factor; component of the U4/U6-U5 snRNP complex	RNA splicing, mRNA processing	molecular_function	nucleus	3	B	2	-	
1	C	5	BLANK	BLANK	-	-	-	-	-	4	B	3	-	
1	C	6	YBR060C	ORC2	origin recognition complex subunit 2|SIR5|RRR1	Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p	peptidyl-amino acid modification, protein alkylation, chromatin organization, DNA replication, histone modification	chromatin binding, DNA binding	nucleus, chromosome	3	B	3	-	
1	C	7	BLANK	BLANK	-	-	-	-	-	4	B	4	-	
1	C	8	YBR070C	ALG14	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14	Component of UDP-GlcNAc transferase; required for second step of dolichyl-linked oligosaccharide synthesis; anchors catalytic subunit Alg13p to ER membrane; similar to bacterial and human glycosyltransferases; both human homologs ALG13 and ALG14 are required to complement yeast alg14 mutant	lipid metabolic process	transferase activity, transferring glycosyl groups, transferase activity	membrane, endomembrane system, endoplasmic reticulum, cytoplasm	3	B	4	-	
1	C	9	BLANK	BLANK	-	-	-	-	-	4	B	5	-	
1	C	10	YBR079C	RPG1	translation initiation factor eIF3 core subunit a|TIF32	eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough	cytoplasmic translation, translational initiation	RNA binding, translation factor activity, RNA binding, mRNA binding	cytoplasm	3	B	5	-	
1	C	11	YDL205C	HEM3	hydroxymethylbilane synthase|OLE2	Porphobilinogen deaminase; catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in heme biosynthesis; localizes to the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p, but not by levels of heme; human homolog HMBS can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid	cofactor metabolic process	transferase activity	nucleus, cytoplasm	4	B	6	-	
1	C	12	BLANK	BLANK	-	-	-	-	-	3	B	6	-	
1	C	13	YDL207W	GLE1	nucleoporin GLE1|NLE2|BRR3|RSS1	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination	translational initiation, regulation of translation, nucleobase-containing compound transport, nuclear transport	lipid binding, enzyme regulator activity, ion binding	nucleus, endomembrane system, mitochondrion, membrane, cytoplasm	4	B	7	-	
1	C	14	BLANK	BLANK	-	-	-	-	-	3	B	7	-	
1	C	15	YDL208W	NHP2	snoRNA-binding protein NHP2	Protein related to mammalian high mobility group (HMG) proteins; nuclear protein; essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing	rRNA processing, RNA modification	RNA binding	nucleus, nucleolus	4	B	8	-	
1	C	16	BLANK	BLANK	-	-	-	-	-	3	B	8	-	
1	C	17	YDL209C	CWC2	NTC40	Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2	RNA splicing, mRNA processing	RNA binding	nucleus	4	B	9	-	
1	C	18	YBR089W	-	-	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30	biological_process	molecular_function	cellular_component	3	B	9	-	
1	C	19	YDL212W	SHR3	APF1	Endoplasmic reticulum packaging chaperone; required for incorporation of amino acid permeases into COPII coated vesicles for transport to the cell surface	Golgi vesicle transport, protein folding	unfolded protein binding	endomembrane system, membrane, site of polarized growth, endoplasmic reticulum, cytoplasm	4	B	10	-	
1	C	20	BLANK	BLANK	-	-	-	-	-	3	B	10	-	
1	C	21	YDL217C	TIM22	translocation channel protein TIM22	Essential core component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane; forms the channel through which proteins are imported	protein targeting, mitochondrion organization, transmembrane transport	protein transporter activity, transmembrane transporter activity	mitochondrion, membrane, mitochondrial envelope, cytoplasm	4	B	11	-	
1	C	22	BLANK	BLANK	-	-	-	-	-	3	B	11	-	
1	C	23	YDL220C	CDC13	telomere-binding protein CDC13|EST4	Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase, telomere end protection, conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes, essential function is telomere capping; forms homodimer via N-terminus; disruption of dimerization leads to short telomeres; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated through cell cycle	telomere organization, regulation of organelle organization, regulation of DNA metabolic process	DNA binding, enzyme regulator activity	nucleus, chromosome	4	B	12	-	
1	C	24	BLANK	BLANK	-	-	-	-	-	3	B	12	-	
1	D	1	BLANK	BLANK	-	-	-	-	-	2	B	1	-	
1	D	2	YDL140C	RPO21	DNA-directed RNA polymerase II core subunit RPO21|B220|SUA8|RPB220|RPB1	RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime	DNA repair, cellular response to DNA damage stimulus, transcription from RNA polymerase II promoter	transferase activity, nucleotidyltransferase activity, DNA binding	nucleus, mitochondrion, cytoplasm	1	B	1	-	
1	D	3	BLANK	BLANK	-	-	-	-	-	2	B	2	-	
1	D	4	YDR016C	DAD1	-	Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis	cytoskeleton organization, regulation of organelle organization, protein complex biogenesis, chromosome segregation, regulation of cell cycle	cytoskeletal protein binding	nucleus, chromosome	1	B	2	-	
1	D	5	BLANK	BLANK	-	-	-	-	-	2	B	3	-	
1	D	6	BLANK	BLANK	-	-	-	-	-	1	B	3	-	
1	D	7	BLANK	BLANK	-	-	-	-	-	2	B	4	-	
1	D	8	YDR088C	SLU7	mRNA splicing protein SLU7|SLT17	RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain	RNA splicing, mRNA processing	other	nucleus	1	B	4	-	
1	D	9	BLANK	BLANK	-	-	-	-	-	2	B	5	-	
1	D	10	YDR145W	TAF12	TafII61|TafII68|TAF68|TAF61	Subunit (61/68 kDa) of TFIID and SAGA complexes; involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A; overexpression of the human ortholog, TAF12, an oncogene involved in the formation of choroid plexus carcinomas, results in dosage chromosomal instability (dCIN) in a human cell line similar to the dCIN observed in yeast overexpressors	peptidyl-amino acid modification, protein acylation, chromatin organization, histone modification, DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	chromatin binding, nucleic acid binding transcription factor activity, structural molecule activity, transcription factor binding	nucleus	1	B	5	-	
1	D	11	YML046W	PRP39	-	U1 snRNP protein involved in splicing; contains multiple tetriatricopeptide repeats	RNA splicing, mRNA processing	RNA binding	nucleus	2	B	6	-	
1	D	12	YDR303C	RSC3	-	Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; RSC3 has a paralog, RSC30, that arose from the whole genome duplication	chromatin organization, DNA replication, regulation of DNA metabolic process, transcription from RNA polymerase II promoter, regulation of cell cycle, DNA-templated transcription, elongation	hydrolase activity, DNA binding, ATPase activity	nucleus	1	B	6	-	
1	D	13	YML049C	RSE1	U2 snRNP complex subunit RSE1	Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport	RNA splicing, mRNA processing	RNA binding	nucleus	2	B	7	-	
1	D	14	YDR325W	YCG1	condensin subunit YCG1|YCS5|TIE1	Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding by the complex; required for tRNA genes clustering at the nucleolus; required for replication slow zone breakage following Mec1p inactivation; transcription is cell cycle regulated, peaking in mitosis and declining in G1; protein is constitutively degraded by the proteasome; rate limiting for condensin recruitment to chromatin	mitotic cell cycle, meiotic cell cycle, organelle fission, regulation of organelle organization, chromosome segregation, regulation of cell cycle	chromatin binding	nucleus, chromosome	1	B	7	-	
1	D	15	BLANK	BLANK	-	-	-	-	-	2	B	8	-	
1	D	16	YDR328C	SKP1	SCF ubiquitin ligase subunit SKP1|CBF3D|MGO1	Evolutionarily conserved kinetochore protein; part of multiple protein complexes, including the SCF ubiquitin ligase complex, the CBF3 complex that binds centromeric DNA, and the RAVE complex that regulates assembly of the V-ATPase; protein abundance increases in response to DNA replication stress	mitotic cell cycle, cytoplasmic translation, regulation of translation, organelle fission, cytoskeleton organization, proteolysis involved in cellular protein catabolic process, organelle assembly, regulation of organelle organization, protein complex biogenesis, cellular ion homeostasis, protein modification by small protein conjugation or removal, regulation of cell cycle	transferase activity, DNA binding	nucleus, chromosome, cytoplasm	1	B	8	-	
1	D	17	YML092C	PRE8	proteasome core particle subunit alpha 2	Alpha 2 subunit of the 20S proteasome	proteolysis involved in cellular protein catabolic process	molecular_function	nucleus, membrane, endomembrane system, cytoplasm	2	B	9	-	
1	D	18	YDR394W	RPT3	proteasome regulatory particle base subunit RPT3|YTA2|YNT1	ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter, proteolysis involved in cellular protein catabolic process, protein complex biogenesis	ATPase activity, hydrolase activity	other	1	B	9	-	
1	D	19	YML098W	TAF13	TafII19|TAF19|FUN81	TFIID subunit (19 kDa); involved in RNA polymerase II transcription initiation, similar to histone H4 with atypical histone fold motif of Spt3-like transcription factors	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	nucleic acid binding transcription factor activity	nucleus	2	B	10	-	
1	D	20	YEL019C	MMS21	SUMO ligase MMS21|PSO10|NSE2	Highly conserved SUMO E3 ligase subunit of SMC5-SMC6 complex; required for anchoring dsDNA breaks to the nuclear periphery; SMC5-SMC6 plays a key role in removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; required for efficient sister chromatid cohesion; mutants are sensitive to MMS, show increased spontaneous mutation and mitotic recombination; SUMOylates and inhibits Snf1p function; supports nucleolar function	DNA repair, cellular response to DNA damage stimulus	transferase activity, enzyme regulator activity	nucleus, endomembrane system, chromosome, cytoplasm	1	B	10	-	
1	D	21	YML114C	TAF8	TafII65|TAF65	TFIID subunit (65 kDa); involved in RNA polymerase II transcription initiation	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	nucleic acid binding transcription factor activity	nucleus	2	B	11	-	
1	D	22	YEL034W	HYP2	translation elongation factor eIF-5A|eIF-5A|eIF5A|TIF51A	Translation elongation factor eIF-5A; required for translation of proteins containing polyproline stretches, including Bni1p, and this leads to a requirement for mating projection formation; structural homolog of bacterial EF-P; undergoes an essential hypusination modification; HYP2 has a paralog, ANB1, that arose from the whole genome duplication; human EIF5A complements the inviability of the yeast hyp2 anb1 double null mutant	cytoplasmic translation, translational initiation, regulation of translation, translational elongation	RNA binding, translation factor activity, RNA binding	ribosome, mitochondrion, cytoplasm	1	B	11	-	
1	D	23	YMR005W	TAF4	TafII48|MPT1|TSG2|TAF48	TFIID subunit (48 kDa); involved in RNA polymerase II transcription initiation; potential Cdc28p substrate	DNA-templated transcription, initiation, transcription from RNA polymerase II promoter	chromatin binding, nucleic acid binding transcription factor activity, transcription factor binding	nucleus	2	B	12	-	
1	D	24	YEL055C	POL5	DNA-directed DNA polymerase	DNA Polymerase phi; has sequence similarity to the human MybBP1A and weak sequence similarity to B-type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA	other	transferase activity, nucleotidyltransferase activity	nucleus, nucleolus	1	B	12	-	
1	E	1	BLANK	BLANK	-	-	-	-	-	4	C	1	-	
1	E	2	YBR110W	ALG1	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase	Mannosyltransferase; involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability; human homolog ALG1 complements yeast null mutant	protein glycosylation, lipid metabolic process	transferase activity, transferring glycosyl groups, transferase activity	endomembrane system, endoplasmic reticulum, cytoplasm	3	C	1	-	
1	E	3	YDL235C	YPD1	-	Osmotic stress-responsive phosphorelay intermediate sensor protein; phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus	signaling, response to osmotic stress	enzyme binding, transferase activity	nucleus, cytoplasm	4	C	2	-	
